TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
391	144	158	158	159	351	192	1	193	40
379	143	158	158	159	349	190	1	191	30
373	132	145	145	146	336	190	1	191	37
357	142	157	157	159	340	181	2	183	17
349	131	145	145	147	339	192	2	194	10
347	140	154	154	156	333	177	2	179	14
343	127	139	139	141	316	175	2	177	27
341	134	146	146	148	322	174	2	176	19
338	128	139	139	140	319	179	1	180	19
335	113	124	124	126	314	188	2	190	21
333	118	130	130	132	306	174	2	176	27
333	109	121	121	123	303	180	2	182	30
332	112	123	123	125	313	188	2	190	19
328	100	113	113	115	293	178	2	180	35
322	120	131	131	134	306	172	3	175	16
320	108	119	119	120	300	180	1	181	20
316	117	129	129	130	306	176	1	177	10
313	97	111	111	114	287	173	3	176	26
311	90	101	101	103	270	167	2	169	41
307	96	109	109	111	278	167	2	169	29
307	85	97	97	99	265	166	2	168	42
306	115	127	127	128	291	163	1	164	15
291	116	127	127	128	274	146	1	147	17
289	94	107	107	108	278	170	1	171	11
284	88	98	98	99	255	156	1	157	29
281	80	92	92	94	243	149	2	151	38
277	64	73	73	74	240	166	1	167	37
275	114	126	126	128	255	127	2	129	20
274	107	119	119	121	255	134	2	136	19
271	62	70	70	72	239	167	2	169	32
261	82	95	95	96	244	148	1	149	17
261	54	59	59	60	229	169	1	170	32
260	58	64	64	66	233	167	2	169	27
259	69	78	78	79	240	161	1	162	19
255	104	117	117	118	239	121	1	122	16
255	87	97	97	99	245	146	2	148	10
251	103	116	116	118	226	108	2	110	25
251	57	62	62	64	232	168	2	170	19
241	99	112	112	114	226	112	2	114	15
239	98	112	112	114	226	112	2	114	13
238	53	57	57	58	221	163	1	164	17
226	95	109	109	112	205	93	3	96	21
225	47	51	51	53	210	157	2	159	15
225	46	49	49	50	206	156	1	157	19
223	49	51	51	52	206	154	1	155	17
213	41	46	46	47	194	147	1	148	19
212	44	47	47	48	195	147	1	148	17
211	93	105	105	107	193	86	2	88	18
208	35	41	41	43	171	128	2	130	37
205	91	103	103	105	193	88	2	90	12
204	139	152	152	154	169	15	2	17	35
203	137	150	150	151	163	12	1	13	40
202	141	155	155	157	171	14	2	16	31
197	40	46	46	47	188	141	1	142	9
193	81	93	93	94	167	73	1	74	26
189	138	150	150	152	168	16	2	18	21
186	135	146	146	147	151	4	1	5	35
182	86	97	97	98	167	69	1	70	15
178	89	99	99	100	167	67	1	68	11
178	133	146	146	148	162	14	2	16	16
173	106	118	118	120	140	20	2	22	33
171	124	135	135	137	147	10	2	12	24
167	77	91	91	92	155	63	1	64	12
165	79	92	92	94	155	61	2	63	10
155	74	86	86	89	132	43	3	46	23
153	84	96	96	98	118	20	2	22	35
