TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
987	683	804	804	805	973	168	1	169	14
982	686	809	809	810	973	163	1	164	9
982	680	799	799	800	972	172	1	173	10
982	678	797	797	798	968	170	1	171	14
981	679	799	799	800	969	169	1	170	12
972	676	796	796	797	967	170	1	171	5
968	677	796	796	797	959	162	1	163	9
965	672	792	792	793	958	165	1	166	7
965	670	787	787	788	951	163	1	164	14
963	673	793	793	794	958	164	1	165	5
957	665	781	781	782	941	159	1	160	16
955	667	784	784	785	946	161	1	162	9
953	661	776	776	777	939	162	1	163	14
947	658	774	774	775	935	160	1	161	12
946	657	774	774	775	934	159	1	160	12
941	662	776	776	777	936	159	1	160	5
931	660	774	774	775	923	148	1	149	8
928	655	772	772	773	920	147	1	148	8
925	653	770	770	771	909	138	1	139	16
922	656	772	772	773	910	137	1	138	12
922	652	768	768	769	909	140	1	141	13
922	648	767	767	768	908	140	1	141	14
912	642	760	760	761	901	140	1	141	11
911	647	766	766	767	905	138	1	139	6
911	643	760	760	761	899	138	1	139	12
908	637	755	755	756	896	140	1	141	12
906	644	761	761	762	902	140	1	141	4
905	636	753	753	754	894	140	1	141	11
903	641	758	758	759	897	138	1	139	6
902	639	758	758	759	896	137	1	138	6
899	625	744	744	745	885	140	1	141	14
896	620	740	740	741	883	142	1	143	13
895	632	748	748	749	885	136	1	137	10
891	633	750	750	751	887	136	1	137	4
889	617	735	735	736	876	140	1	141	13
887	615	735	735	736	878	142	1	143	9
885	614	735	735	736	871	135	1	136	14
882	613	734	734	735	870	135	1	136	12
877	611	733	733	734	869	135	1	136	8
872	607	725	725	726	857	131	1	132	15
870	610	733	733	734	862	128	1	129	8
870	604	716	716	717	855	138	1	139	15
869	608	729	729	730	862	132	1	133	7
861	601	713	713	714	852	138	1	139	9
857	598	710	710	711	843	132	1	133	14
855	599	710	710	711	841	130	1	131	14
852	600	711	711	712	847	135	1	136	5
846	588	702	702	703	830	127	1	128	16
843	596	709	709	710	839	129	1	130	4
843	592	705	705	706	831	125	1	126	12
842	595	708	708	709	832	123	1	124	10
837	586	700	700	701	829	128	1	129	8
833	584	699	699	700	823	123	1	124	10
832	582	695	695	696	823	127	1	128	9
831	579	691	691	692	822	130	1	131	9
831	577	690	690	691	816	125	1	126	15
830	685	808	808	809	810	1	1	2	20
830	684	806	806	807	808	1	1	2	22
823	580	691	691	692	816	124	1	125	7
821	576	689	689	690	811	121	1	122	10
820	575	688	688	689	811	122	1	123	9
818	682	802	802	803	804	1	1	2	14
817	681	801	801	802	803	1	1	2	14
814	573	684	684	685	801	116	1	117	13
814	671	788	788	789	790	1	1	2	24
813	574	686	686	687	803	116	1	117	10
813	668	784	784	785	786	1	1	2	27
812	666	783	783	784	785	1	1	2	27
810	669	785	785	786	787	1	1	2	23
809	674	795	795	796	797	1	1	2	12
807	567	679	679	680	792	112	1	113	15
801	560	671	671	672	786	114	1	115	15
798	663	777	777	778	779	1	1	2	19
797	675	795	795	796	797	1	1	2	0
797	561	671	671	672	783	111	1	112	14
795	562	673	673	674	789	115	1	116	6
795	563	673	673	674	787	113	1	114	8
794	557	670	670	671	782	111	1	112	12
792	650	767	767	768	769	1	1	2	23
790	645	764	764	765	766	1	1	2	24
787	654	770	770	771	772	1	1	2	15
787	651	768	768	769	770	1	1	2	17
786	556	670	670	671	780	109	1	110	6
781	664	779	779	780	781	1	1	2	0
780	635	751	751	752	753	1	1	2	27
778	547	661	661	662	767	105	1	106	11
777	554	668	668	669	768	99	1	100	9
777	553	666	666	667	767	100	1	101	10
776	659	774	774	775	776	1	1	2	0
775	550	663	663	664	767	103	1	104	8
772	640	758	758	759	760	1	1	2	12
770	548	661	661	662	757	95	1	96	13
770	544	658	658	659	755	96	1	97	15
769	649	767	767	768	769	1	1	2	0
769	545	660	660	661	756	95	1	96	13
768	646	766	766	767	768	1	1	2	0
768	628	745	745	746	747	1	1	2	21
767	542	654	654	655	754	99	1	100	13
765	631	745	745	746	747	1	1	2	18
763	627	745	745	746	747	1	1	2	16
761	543	656	656	657	755	98	1	99	6
761	622	742	742	743	744	1	1	2	17
761	618	736	736	737	738	1	1	2	23
760	534	643	643	644	744	100	1	101	16
759	535	646	646	647	751	104	1	105	8
758	638	756	756	757	758	1	1	2	0
755	624	742	742	743	744	1	1	2	11
753	634	751	751	752	753	1	1	2	0
753	530	638	638	639	739	100	1	101	14
752	525	631	631	632	736	104	1	105	16
751	619	738	738	739	740	1	1	2	11
749	532	642	642	643	743	100	1	101	6
749	527	635	635	636	738	102	1	103	11
749	605	718	718	719	720	1	1	2	29
747	630	745	745	746	747	1	1	2	0
747	629	745	745	746	747	1	1	2	0
747	626	745	745	746	747	1	1	2	0
746	606	724	724	725	726	1	1	2	20
745	522	629	629	630	735	105	1	106	10
744	623	742	742	743	744	1	1	2	0
742	518	623	623	624	728	104	1	105	14
740	520	625	625	626	729	103	1	104	11
740	508	609	609	610	725	115	1	116	15
